doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
1,male,2.8,39.0,2.49,2.49,male
2,female,3.3,36.0,2.42,2.42,female
3,female,3.2,36.0,1.69,1.69,female
4,female,2.8,28.5,1.49,1.49,female
5,female,3.7,38.0,1.27,1.27,female
6,female,2.9,32.0,1.1,1.1,female
7,female,3.6,41.0,0.85,0.85,female
8,female,3.6,36.0,0.56,0.56,female
9,female,3.0,43.0,0.2,0.2,female
10,male,3.0,34.0,0.19,0.19,male
11,male,3.6,37.0,0.18,0.18,male
12,male,3.8,39.0,0.13,0.13,male
13,male,2.5,36.0,0.03,0.03,male
14,male,3.9,36.0,-0.02,-0.02,male
15,male,3.1,37.0,-0.26,-0.26,male
16,female,2.4,40.0,-0.31,-0.31,female
17,female,3.7,36.0,-0.32,-0.32,female
18,male,3.2,48.0,-0.37,-0.37,male
19,male,3.4,43.0,-0.48,-0.48,male
20,male,2.7,23.0,-1.57,-1.57,male
