doc_id,D,sex,Income,ApplicantIncome
1,1,male,72529,72529
6,6,female,7451,7451
2,2,male,18840,18840
8,8,female,4742,4742
3,3,male,14999,14999
9,9,female,4606,4606
4,4,male,10833,10833
10,10,female,4583,4583
5,5,male,7660,7660
11,11,female,4547,4547
12,12,female,4408,4408
14,14,female,4283,4283
7,7,male,5677,5677
16,16,female,4230,4230
17,17,female,4180,4180
13,13,male,4310,4310
19,19,female,3813,3813
15,15,male,4281,4281
18,18,male,3814,3814
20,20,male,3808,3808
21,21,male,3800,3800
23,23,female,3692,3692
22,22,male,3727,3727
25,25,female,3620,3620
24,24,male,3634,3634
27,27,female,3400,3400
26,26,male,3436,3436
28,28,male,3399,3399
29,29,female,3166,3166
30,30,female,3166,3166
31,31,male,3074,3074
33,33,female,2876,2876
32,32,male,2987,2987
35,35,female,2720,2720
34,34,male,2755,2755
36,36,female,2645,2645
37,37,female,2600,2600
38,38,male,2583,2583
39,39,female,2500,2500
40,40,female,2366,2366
41,41,male,2360,2360
42,42,male,2267,2267
44,44,female,2226,2226
43,43,male,2237,2237
45,45,male,2185,2185
46,46,female,2107,2107
47,47,male,2014,2014
48,48,male,1977,1977
49,49,female,1937,1937
50,50,female,1907,1907
