Sample,shot_0,shot_1,shot_2
1,,-0.1666666666666666,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,0.0,
12,,,
13,,,0.4444444444444444
14,,,
15,,0.0,
16,,-0.1111111111111111,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,0.5555555555555556,0.5555555555555556
23,,,
24,,0.2777777777777778,
25,,,0.0
26,,,
27,,0.0555555555555555,
28,,,
29,,0.3333333333333333,
30,,-0.1111111111111111,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,0.6111111111111112
37,,,
38,,,
39,,,
40,,,0.5555555555555556
41,,,
42,,,
43,,,0.3888888888888889
44,,,
45,,,-0.2222222222222222
46,,,
47,,,0.3888888888888889
48,,,
49,,,
50,,,
